                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5279,                 1.8509,                 1.2525,                0.69267,                0.75988,                0.75435,                0.43883,                 1.1553,                 1.0557,                  1.131,             0.00041171,             0.00041171,             0.00041171
                      2,                   1.46,                 1.1632,                 1.2357,                0.81098,                0.76211,                 0.7903,                0.42823,                 1.2121,                 1.2853,                 1.1983,             0.00082017,             0.00082017,             0.00082017
                      3,                 1.4706,                 1.1364,                 1.2372,                0.81861,                0.79145,                0.81611,                0.43696,                  1.308,                 1.3509,                 1.3016,              0.0012204,              0.0012204,              0.0012204
                      4,                 1.4318,                 1.0177,                 1.2642,                0.78706,                0.81726,                0.84705,                0.46398,                 1.2247,                0.97173,                 1.2364,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4333,                 1.0077,                 1.2534,                0.84514,                0.83666,                0.87207,                0.51514,                 1.1699,                 0.8991,                 1.2646,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.4258,                0.98399,                 1.2277,                0.86624,                0.83723,                0.88298,                0.52838,                 1.0778,                0.70971,                 1.1642,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3617,                0.94222,                 1.2152,                0.90746,                0.83105,                0.89446,                0.52626,                 1.1335,                0.69757,                   1.19,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3513,                0.96148,                 1.1963,                0.91882,                0.78194,                0.88138,                0.49259,                 1.1226,                0.69025,                 1.1438,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.3164,                0.96181,                 1.1879,                0.89326,                0.86177,                0.90586,                0.54658,                 1.0681,                0.65256,                 1.1495,               0.001151,               0.001151,               0.001151
                     10,                 1.3057,                0.87344,                 1.1851,                0.90623,                0.88585,                0.92515,                0.55889,                 1.0337,                0.62164,                 1.1258,              0.0011386,              0.0011386,              0.0011386
                     11,                  1.295,                 0.8599,                 1.1685,                0.87097,                0.90548,                0.92004,                0.56061,                 1.0248,                0.59993,                 1.1081,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.2839,                0.85742,                 1.1776,                0.89733,                0.87327,                0.93257,                0.57578,                0.92975,                0.58408,                 1.0875,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.2635,                0.84479,                  1.156,                0.90605,                0.89584,                0.92063,                0.57622,                0.97119,                0.57347,                 1.1077,              0.0011015,              0.0011015,              0.0011015
                     14,                  1.281,                 0.8243,                 1.1623,                0.89851,                0.87743,                0.90161,                0.54862,                  1.021,                0.60035,                 1.0944,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.2222,                0.82885,                 1.1287,                0.93387,                0.88366,                 0.9208,                0.57451,                0.97942,                0.57748,                 1.0956,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.2276,                0.79506,                 1.1264,                0.92587,                0.91669,                0.92562,                 0.5704,                0.99963,                0.57881,                 1.0827,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1969,                0.78839,                 1.1278,                0.88855,                0.87038,                 0.9007,                0.56476,                0.97408,                0.56999,                 1.0769,               0.001052,               0.001052,               0.001052
                     18,                 1.2172,                0.77411,                  1.131,                0.89045,                0.89223,                  0.924,                0.60135,                0.93215,                0.54264,                 1.0694,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.2294,                 0.7963,                 1.1378,                0.88742,                0.90352,                0.93764,                0.59824,                0.92442,                0.55275,                 1.0602,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.1724,                0.76596,                 1.1241,                0.90304,                0.91978,                0.93594,                0.60945,                0.88267,                0.50671,                 1.0669,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.1634,                0.74683,                 1.1088,                0.89868,                0.93691,                0.94528,                0.61206,                0.92079,                0.52907,                 1.0475,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.1708,                0.76143,                 1.1052,                0.91748,                0.89905,                0.94474,                0.60162,                0.89849,                0.51969,                 1.0494,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.1291,                0.72646,                 1.1002,                0.90603,                0.89462,                0.92449,                0.61226,                0.84748,                0.49856,                 1.0482,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.1265,                 0.7626,                 1.0813,                0.87338,                0.89158,                 0.9141,                0.60698,                0.88607,                0.51623,                 1.0505,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.1313,                 0.7238,                 1.0967,                0.88922,                0.87461,                0.93397,                0.60882,                0.90119,                0.51765,                 1.0453,               0.000953,               0.000953,               0.000953
                     26,                 1.1448,                0.71888,                 1.1045,                0.90631,                0.88445,                0.93328,                0.60121,                0.88209,                0.50527,                 1.0455,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.1252,                0.71712,                  1.091,                0.93714,                0.88522,                0.94097,                0.63589,                0.84714,                0.50383,                 1.0357,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.1159,                0.72622,                  1.083,                0.90557,                 0.8257,                0.92431,                0.61728,                0.85711,                0.51046,                 1.0367,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.1193,                0.73046,                 1.0875,                0.92126,                0.93739,                0.96164,                0.64567,                0.84521,                0.47026,                   1.03,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.1208,                0.72292,                 1.0956,                0.89351,                0.89972,                0.93127,                0.62595,                0.87784,                0.48577,                 1.0462,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.1024,                0.69379,                 1.0908,                0.92084,                0.91147,                0.95134,                 0.6253,                0.84585,                0.48367,                 1.0294,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.1102,                0.69952,                 1.0784,                0.90806,                0.93742,                  0.941,                0.62163,                0.86636,                0.48943,                 1.0281,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.0755,                0.67409,                 1.0599,                0.94941,                0.90367,                0.96081,                0.62649,                0.87019,                0.49713,                 1.0394,               0.000854,               0.000854,               0.000854
                     34,                 1.0776,                0.69126,                 1.0733,                0.91311,                 0.9104,                0.93595,                0.61995,                0.87133,                0.48422,                 1.0419,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.0892,                0.68979,                  1.079,                0.91105,                0.89463,                0.94438,                0.62632,                0.83932,                 0.4869,                 1.0302,             0.00082925,             0.00082925,             0.00082925
                     36,                  1.079,                0.66736,                 1.0715,                 0.9566,                0.87951,                0.94191,                0.62716,                0.85841,                0.48016,                 1.0349,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.0643,                0.65584,                  1.064,                0.92155,                 0.9066,                0.94612,                0.63525,                0.83631,                0.46742,                 1.0435,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.0554,                0.66984,                 1.0621,                0.89874,                0.91406,                0.94116,                0.63565,                0.83633,                 0.5079,                 1.0261,             0.00079213,             0.00079213,             0.00079213
                     39,                  1.041,                0.65107,                 1.0481,                0.90566,                 0.8752,                0.95527,                0.64536,                0.82231,                0.47489,                 1.0195,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.0257,                 0.6338,                 1.0515,                0.89875,                0.90152,                0.94322,                0.64303,                0.81528,                0.45684,                 1.0121,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.0525,                0.65994,                 1.0695,                0.90682,                0.92279,                0.95014,                 0.6424,                0.84101,                0.44966,                 1.0185,               0.000755,               0.000755,               0.000755
                     42,                 1.0446,                 0.6297,                 1.0518,                0.90486,                0.91026,                0.93753,                0.64203,                0.83303,                0.44887,                 1.0239,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.0324,                0.64132,                 1.0537,                0.89942,                0.92585,                 0.9512,                0.64308,                 0.8488,                0.46756,                  1.024,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.0065,                0.61718,                 1.0428,                0.93712,                0.91112,                0.95507,                0.65562,                0.79814,                0.44309,                 1.0109,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.0303,                0.63886,                 1.0352,                0.91647,                0.91911,                0.95997,                0.63692,                0.83911,                0.45388,                 1.0237,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.0227,                0.64292,                 1.0378,                0.91449,                0.89986,                0.93597,                0.61742,                0.83028,                0.47415,                 1.0182,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.0077,                0.63328,                 1.0379,                0.93068,                0.93433,                0.96028,                0.64936,                0.81634,                 0.4484,                 1.0192,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.0095,                0.62887,                 1.0388,                0.93668,                0.92019,                 0.9538,                0.63858,                0.79949,                0.44834,                 1.0075,             0.00066838,             0.00066838,             0.00066838
                     49,                0.98881,                0.61749,                 1.0332,                0.93311,                0.89755,                0.94747,                0.64632,                0.80502,                0.44855,                 1.0135,               0.000656,               0.000656,               0.000656
                     50,                0.98129,                0.60605,                 1.0242,                0.91958,                0.93994,                0.96891,                0.66087,                0.79043,                0.43223,                 1.0011,             0.00064362,             0.00064362,             0.00064362
                     51,                0.99655,                0.61315,                 1.0257,                0.94866,                0.91203,                0.95484,                0.66514,                0.81995,                0.42867,                 1.0148,             0.00063125,             0.00063125,             0.00063125
                     52,                0.96241,                0.59273,                 1.0149,                 0.9449,                0.91557,                0.96515,                 0.6639,                0.78225,                0.42646,                 1.0112,             0.00061887,             0.00061887,             0.00061887
